date,cpm_mean,cpm_min,cpm_max,cpm_n,usv_h_mean,usv_h_min,usv_h_max,usv_h_n,site_id,lat,lon,timezone
2026-09-16,15.3147,5.0,32.0,839,0.0995,0.032,0.208,839,MSDS-GMC800-CASEY,39.2974,-87.9818,America/Chicago
2026-09-17,15.2243,5.0,29.0,1440,0.0989,0.032,0.189,1440,MSDS-GMC800-CASEY,39.2974,-87.9818,America/Chicago
2026-09-18,15.3049,4.0,33.0,1440,0.0994,0.026,0.214,1440,MSDS-GMC800-CASEY,39.2974,-87.9818,America/Chicago
2026-09-19,15.0868,5.0,29.0,1440,0.098,0.032,0.189,1440,MSDS-GMC800-CASEY,39.2974,-87.9818,America/Chicago
2026-09-20,15.4618,4.0,31.0,1440,0.1004,0.026,0.201,1440,MSDS-GMC800-CASEY,39.2974,-87.9818,America/Chicago
2026-09-21,15.6069,5.0,31.0,1440,0.1014,0.032,0.201,1440,MSDS-GMC800-CASEY,39.2974,-87.9818,America/Chicago
2026-09-22,14.5958,4.0,29.0,1440,0.0948,0.026,0.189,1440,MSDS-GMC800-CASEY,39.2974,-87.9818,America/Chicago
2026-09-23,14.8882,4.0,29.0,1440,0.0967,0.026,0.189,1440,MSDS-GMC800-CASEY,39.2974,-87.9818,America/Chicago
2026-09-24,14.7229,3.0,28.0,1440,0.0956,0.02,0.182,1440,MSDS-GMC800-CASEY,39.2974,-87.9818,America/Chicago
2026-09-25,14.9852,3.0,29.0,473,0.0973,0.02,0.189,473,MSDS-GMC800-CASEY,39.2974,-87.9818,America/Chicago
WINDOW_2026-09-25,15.1201,3.0,33.0,12832,0.0982,0.02,0.214,12832,MSDS-GMC800-CASEY,39.2974,-87.9818,America/Chicago
