time_local,cpm_mean,cpm_min,cpm_max,cpm_median,n,usv_mean,usv_min,usv_max,usv_median
2026-09-20T00:00:00,15.4833,8.0,22.0,15.0,60,0.1006,0.052,0.143,0.097
2026-09-20T01:00:00,15.75,8.0,26.0,15.0,60,0.1023,0.052,0.169,0.097
2026-09-20T02:00:00,15.9833,9.0,24.0,16.5,60,0.1038,0.058,0.156,0.1075
2026-09-20T03:00:00,15.4833,7.0,24.0,15.0,60,0.1005,0.045,0.156,0.097
2026-09-20T04:00:00,16.25,7.0,26.0,15.0,60,0.1055,0.045,0.169,0.097
2026-09-20T05:00:00,15.3,6.0,26.0,15.0,60,0.0993,0.039,0.169,0.097
2026-09-20T06:00:00,15.3,8.0,26.0,15.0,60,0.0994,0.052,0.169,0.097
2026-09-20T07:00:00,15.4667,8.0,22.0,15.5,60,0.1004,0.052,0.143,0.1005
2026-09-20T08:00:00,15.6333,7.0,27.0,15.0,60,0.1015,0.045,0.176,0.097
2026-09-20T09:00:00,16.6667,5.0,26.0,17.0,60,0.1083,0.032,0.169,0.111
2026-09-20T10:00:00,15.4333,9.0,23.0,15.5,60,0.1003,0.058,0.149,0.1005
2026-09-20T11:00:00,15.7,6.0,26.0,16.0,60,0.102,0.039,0.169,0.104
2026-09-20T12:00:00,15.2833,7.0,23.0,16.0,60,0.0993,0.045,0.149,0.104
2026-09-20T13:00:00,14.3667,7.0,25.0,14.5,60,0.0933,0.045,0.162,0.094
2026-09-20T14:00:00,15.4167,6.0,27.0,14.5,60,0.1002,0.039,0.176,0.094
2026-09-20T15:00:00,15.45,7.0,28.0,16.0,60,0.1004,0.045,0.182,0.104
2026-09-20T16:00:00,14.7333,8.0,25.0,14.5,60,0.0957,0.052,0.162,0.094
2026-09-20T17:00:00,15.4333,8.0,22.0,15.0,60,0.1002,0.052,0.143,0.097
2026-09-20T18:00:00,15.2,4.0,24.0,15.0,60,0.0987,0.026,0.156,0.097
2026-09-20T19:00:00,15.0333,8.0,23.0,14.5,60,0.0976,0.052,0.149,0.094
2026-09-20T20:00:00,15.6167,6.0,22.0,16.0,60,0.1015,0.039,0.143,0.104
2026-09-20T21:00:00,14.95,9.0,24.0,15.0,60,0.0971,0.058,0.156,0.097
2026-09-20T22:00:00,14.4833,6.0,26.0,15.0,60,0.094,0.039,0.169,0.097
2026-09-20T23:00:00,16.6667,8.0,31.0,16.0,60,0.1082,0.052,0.201,0.104
2026-09-21T00:00:00,17.0167,8.0,28.0,16.0,60,0.1106,0.052,0.182,0.104
2026-09-21T01:00:00,17.4167,10.0,27.0,17.0,60,0.1131,0.065,0.176,0.111
2026-09-21T02:00:00,16.6667,9.0,27.0,16.0,60,0.1082,0.058,0.176,0.104
2026-09-21T03:00:00,18.6833,10.0,31.0,18.5,60,0.1214,0.065,0.201,0.12
2026-09-21T04:00:00,18.7833,9.0,31.0,19.0,60,0.122,0.058,0.201,0.123
2026-09-21T05:00:00,18.4,10.0,27.0,17.5,60,0.1196,0.065,0.176,0.114
2026-09-21T06:00:00,16.35,7.0,31.0,16.0,60,0.1061,0.045,0.201,0.104
2026-09-21T07:00:00,15.4,7.0,27.0,14.5,60,0.1001,0.045,0.176,0.094
2026-09-21T08:00:00,15.15,7.0,24.0,15.0,60,0.0984,0.045,0.156,0.097
2026-09-21T09:00:00,15.2,8.0,27.0,15.0,60,0.0987,0.052,0.176,0.097
2026-09-21T10:00:00,14.1167,5.0,23.0,14.0,60,0.0916,0.032,0.149,0.091
